,Brand,Price,Product_name,Rating,Review Votes,Reviews,Reviews_bw
175000,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,I love itt!!❤️❤️,love itt
175001,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,4,0,Daughter loves it,daughter loves
175002,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,on time... Great Phone and good deal,time great phone good deal
175003,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Quick delivery and very good phone.,quick delivery good phone
175004,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,4,0,Great one! It's actually way better than what expected!!,great one actually way better expected
175005,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,great phone,great phone
175006,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Great for the price,great price
175007,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,i love my new iphone,love new iphone
175008,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Thanks phone is awesome,thanks phone awesome
175009,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,"Nice and clean , flawless",nice clean flawless
175010,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,I love it!,love
175011,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,3,0,Good,good
175012,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,15,"I wasn't real warm and fuzzy about spending this kind of money online for something like an unlocked phone. I have AT&T and was worried the Iphone wouldn't work. When the Iphone arrived, it was like brand new. AT&T didn't have any problems getting it going for me. I am very happy with my order, and would do it again if I had to.",real warm fuzzy spending kind money online something like unlocked phone worried iphone work iphone arrived like brand new problems getting going happy order would
175013,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,At the moment everthing is ok.,moment everthing ok
175014,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,This is very good phone..,good phone
175015,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,I like it,like
175016,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,3,0,REGULAR,regular
175017,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,by daughter loves it,daughter loves
175018,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,"Excellent phone for the price, works so good",excellent phone price works good
175019,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,I love the smartphone thank you,love smartphone thank
175020,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,4,0,todo ok,todo ok
175021,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,"Works perfectly fine, and looks brand new!",works perfectly fine looks brand new
175022,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,1,0,Too hot when long time talking,hot long time talking
175023,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Working good,working good
175024,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,"AS REPRESENTED, SPEEDY SHIPPING !",represented speedy shipping
175025,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,4,0,Is working fine,working fine
175026,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,It is great,great
175027,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Phone was in new condition and haven't had any problems with it.,phone new condition problems
175028,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,4,6,"Purchased this refurbished iPhone 5s to save a bit; opted to not buy a brand new iPhone 5s and also skip the iPhone 6 series as it seemed a little pricey for me. This buy satisfied my needs, it came in decent packaging, and as described showed little wear. A few small marks and dents in the metal outer casing exist, but the phone is scratch-free. The battery life seems fine, and the phone operates to full capacity with all the apps I've downloaded. The vibrate function is a little rattly, it doesn't sound perfect but this isn't a new phone. The hardest part about buying this refurbished phone, was the activation part with my carrier. Took several hours and changing of a few identification numbers with the phone, because those IDs had been previously used by another person. I am fairly confident I would buy again in this manner instead of buying new, as long as the quality of the product is the same as this one.",purchased refurbished iphone save bit opted not buy brand new iphone also skip iphone series seemed little pricey buy satisfied needs came decent packaging described showed little wear small marks dents metal outer casing exist phone scratch free battery life seems fine phone operates full capacity apps downloaded vibrate function little rattly sound perfect new phone hardest part buying refurbished phone activation part carrier took several hours changing identification numbers phone ids previously used another person fairly confident would buy manner instead buying new long quality product one
175029,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,Great phone. Looks brand new and works great!,great phone looks brand new works great
175030,Apple,174.33,Apple iPhone 6 16GB Factory Unlocked GSM 4G LTE Internal Smartphone - Space Gray,5,0,5star,star
